Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe		1,760 K	7,036 K	4940	Host Process for Windows Services	Microsoft Corporation
   ctfmon.exe		5,568 K	14,020 K	4996		
  svchost.exe		5,376 K	16,972 K	5652	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,136 K	17,180 K	6780	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,100 K	8,888 K	992	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,956 K	7,740 K	7120	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,324 K	5,680 K	7284	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,796 K	12,896 K	6264	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.10	6,824 K	16,572 K	2256	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	9,268 K	19,188 K	7544	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,500 K	6,636 K	5148	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,432 K	10,896 K	2336	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,180 K	6,952 K	2620	Host Process for Windows Services	Microsoft Corporation
 lsass.exe		6,016 K	14,152 K	644	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,812 K	2,712 K	796		
csrss.exe	0.11	1,840 K	4,560 K	496		
winlogon.exe		2,632 K	10,764 K	576		
 fontdrvhost.exe		6,116 K	5,668 K	788		
 dwm.exe	0.83	86,788 K	125,700 K	996		
explorer.exe	0.39	56,768 K	153,176 K	4796	Windows Explorer	Microsoft Corporation
 MSASCuiL.exe		1,992 K	11,700 K	3272	Windows Defender notification icon	Microsoft Corporation
 OneDrive.exe		19,836 K	49,344 K	7220	Microsoft OneDrive	Microsoft Corporation
 firefox.exe		163,372 K	217,960 K	7872	Firefox	Mozilla Corporation
  firefox.exe		87,588 K	165,392 K	6388	Firefox	Mozilla Corporation
  firefox.exe		19,520 K	36,956 K	7644	Firefox	Mozilla Corporation
  firefox.exe	0.02	47,564 K	85,328 K	5224	Firefox	Mozilla Corporation
  firefox.exe		15,440 K	35,220 K	7608	Firefox	Mozilla Corporation
 kleopatra.exe		24,948 K	35,940 K	6608		
 procexp64.exe	2.06	19,424 K	60,608 K	5704	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
gpg-agent.exe		1,512 K	6,436 K	5040	GnuPG’s private key daemon	The GnuPG Project

